Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C7, C8",0805,4,100nF,C710699
C10,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,Tantalum J106 10uF,C110050
"C2, C4",0805,2,10nF,C161252
C9,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,Tantalum J106 10uF, C110050
"IC1, IC2",TSOP-I-56_18.4x14mm_P0.5mm,2,MT28EW128ABA,C598856
R1,0805,1,100k,C122537
"R2, R3, R4, R5",0805,4,10k,C441955
