Designator,Mid X,Mid Y,Rotation,Layer
C1,160.655,-102.997,270.0,top
C10,168.783,-83.312,0.0,top
C2,158.496,-102.8915,270.0,top
C3,122.301,-102.997,270.0,top
C4,124.46,-102.997,270.0,top
C7,123.698,-88.138,270.0,top
C8,105.156,-87.63,90.0,top
C9,109.22,-82.55,180.0,top
IC1,133.096,-94.7775,270.0,top
IC2,149.606,-94.742,270.0,top
R1,117.475,-93.472,0.0,top
R2,122.174,-83.185,0.0,top
R3,121.92,-97.282,0.0,top
R4,159.385,-97.282,0.0,top
R5,121.92,-93.472,0.0,top
